item,name
Q18524166,Branko Grims
Q18644528,Marko Pogačnik
Q32078857,Žan Mahnič
Q12787285,Danijel Krivec
Q10861634,Zvonko Černač
Q3061255,Eva Irgl
Q18507427,Andrej Šircelj
Q12784241,Alenka Jeraj
Q32083031,Anže Logar
Q18604336,Jože Tanko
Q57627,Janez Janša
,Boris Doblekar
Q42303688,Jelka Godec
,Nada Brinovšek
,Franc Rosec
Q29048797,Anja Bah Žibert
,Franci Kepa
Q12804238,Tomaž Lisec
,Karmen Furman
Q32945377,Bojan Podkrajšek
Q61358335,Dejan Kaloh
Q12789041,Franc Breznik
Q18627666,Marijan Pojbič
,Jožef Lenart
Q43389533,Suzana Lep Šimenko
Q56681695,Lidija Ivanuša
,Igor Peček
,Edvard Paulič
Q12795878,Marjan Šarec
,Robert Pavšič
,Jerca Korče
,Andreja Zabret
Q54944131,Tina Heferle
Q105111559,Brane Golubović
,Darij Krajčič
,Jože Lenart
Q76191616,Rudi Medved
,Lidiija Divjak Mirnik
,Aljaž Kovačič
Q12800700,Samo Bevk
,Meira Hot
Q27929326,Matjaž Nemec
,Marko Koprivc
,Predrag Baković
,Jani Prednik
Q18644615,Matjaž Han
,Soniboj Knežak
,Bojana Muršič
Q12787433,Dejan Židan
,Mateja Udovč
Q104420145,Gregor Perič
Q96435819,Monika Gregorčič
Q17117413,Miro Cerar
Q17484120,Milan Brglez
Q43389601,Janja Sluga
Q43389540,Igor Zorčič
Q24690846,Zdravko Počivalšek
,Branislav Rajić
,Mojca Žnidarič
Q23001530,Miha Kordiš
Q24662016,Matej Tašner Vatovec
Q12805811,Violeta Tomić
Q18627634,Luka Mesec
Q54557559,Nataša Sukič
Q105961549,Željko Cigler
Q64517964,Primož Siter
Q18529471,Franc Trček
Q77844996,Boštjan Koražija
Q12796084,Matej Tonin
Q43389553,Jernej Vrtovec
Q18508947,Iva Dimic
Q431743,Ljudmila Novak
Q67503617,Aleksander Reberšek
,Blaž Pavlin
Q18604372,Jožef Horvat
,Franc Kramar
Q66686387,Marko Bandelli
Q76190642,Peter Jožef Česnik
,Vojko Starović
,Andrej Rajh
,Branko Simonovič
Q56162105,Robert Polnar
Q12791559,Ivan Hršak
,Jurij Lep
Q12789102,Franc Jurša
Q104522252,Dušan Šiško
Q217903,Zmago Jelinčič Plemeniti
Q104529196,Jani Ivanuša
,Felice Žiža
Q106299546,Ferenc Horvath
